date,block_number,tx_hash,flash_loan_provider,borrowed_amount_usd,token_pair,buy_dex,sell_dex,price_buy,price_sell,gross_profit_usd,gas_cost_eth,gas_cost_usd,net_profit_usd,profitable,execution_time_ms,competition_level
2026-07-01,18000000,0x0000000000000000000000000000000000000000000000000000000000000000,Aave V3,762414,WETH/USDC,SwapBased,Aerodrome,1.001202,1.015027,517,0.005645,16.93,500.07,True,3650,low
2026-07-02,18000120,0x0000000000000000000000000000000000000000000000000000000000000001,Balancer,1872919,cbBTC/USDC,SwapBased,Uniswap V3,1.040078,1.004857,2187,0.001603,4.81,2182.19,True,1118,high
2026-07-03,18000240,0x0000000000000000000000000000000000000000000000000000000000000002,Uniswap V3 (flash),1078283,AERO/WETH,BaseSwap,SushiSwap,0.979323,0.961004,1136,0.001255,3.76,1132.24,True,3670,low
2026-07-04,18000360,0x0000000000000000000000000000000000000000000000000000000000000003,MakerDAO,1170952,WETH/cbETH,Aerodrome,SwapBased,0.964457,0.965744,11718,0.001123,3.37,11714.63,True,3983,low
2026-07-05,18000480,0x0000000000000000000000000000000000000000000000000000000000000004,dYdX,1126386,USDC/USDbC,Aerodrome,SwapBased,0.968951,1.004978,8145,0.003601,10.8,8134.2,True,1636,medium
2026-07-06,18000600,0x0000000000000000000000000000000000000000000000000000000000000005,Aave V3,661144,DAI/USDC,SushiSwap,BaseSwap,0.964565,1.049838,7677,0.004703,14.11,7662.89,True,2798,medium
2026-07-07,18000720,0x0000000000000000000000000000000000000000000000000000000000000006,Balancer,1494186,WETH/USDC,BaseSwap,SushiSwap,1.017201,1.012267,1736,0.007897,23.69,1712.31,True,2905,medium
2026-07-08,18000840,0x0000000000000000000000000000000000000000000000000000000000000007,Uniswap V3 (flash),1481480,cbBTC/USDC,SushiSwap,AlienBase,0.962569,1.001592,3775,0.005548,16.64,3758.36,True,2436,high
2026-07-09,18000960,0x0000000000000000000000000000000000000000000000000000000000000008,MakerDAO,1264022,AERO/WETH,SwapBased,BaseSwap,1.000233,0.981316,9749,0.005399,16.2,9732.8,True,3008,low
2026-07-10,18001080,0x0000000000000000000000000000000000000000000000000000000000000009,dYdX,960770,WETH/cbETH,SwapBased,AlienBase,1.009026,1.030331,11343,0.006794,20.38,11322.62,True,4126,medium
2026-07-11,18001200,0x000000000000000000000000000000000000000000000000000000000000000a,Aave V3,1746516,USDC/USDbC,Aerodrome,Uniswap V3,1.016973,1.019396,8901,0.00295,8.85,8892.15,True,2274,low
2026-07-12,18001320,0x000000000000000000000000000000000000000000000000000000000000000b,Balancer,1948329,DAI/USDC,SushiSwap,Uniswap V3,0.999886,1.014237,11834,0.007725,23.18,11810.82,True,3019,medium
2026-07-13,18001440,0x000000000000000000000000000000000000000000000000000000000000000c,Uniswap V3 (flash),1513155,WETH/USDC,BaseSwap,Uniswap V3,0.989273,1.014252,9893,0.001863,5.59,9887.41,True,1797,high
2026-07-14,18001560,0x000000000000000000000000000000000000000000000000000000000000000d,MakerDAO,1453047,cbBTC/USDC,Aerodrome,AlienBase,0.97177,1.052192,10895,0.003749,11.25,10883.75,True,2967,high
2026-07-15,18001680,0x000000000000000000000000000000000000000000000000000000000000000e,dYdX,1064678,AERO/WETH,SushiSwap,Uniswap V3,0.994969,1.018598,228,0.007207,21.62,206.38,True,2826,medium
2026-07-16,18001800,0x000000000000000000000000000000000000000000000000000000000000000f,Aave V3,714318,WETH/cbETH,SwapBased,AlienBase,1.047284,1.012321,5700,0.001378,4.13,5695.87,True,4100,high
2026-07-17,18001920,0x0000000000000000000000000000000000000000000000000000000000000010,Balancer,420109,USDC/USDbC,Uniswap V3,BaseSwap,0.991231,0.986497,14404,0.007666,23.0,14381.0,True,3073,medium
2026-07-18,18002040,0x0000000000000000000000000000000000000000000000000000000000000011,Uniswap V3 (flash),616653,DAI/USDC,SwapBased,BaseSwap,1.033134,0.964862,14488,0.000987,2.96,14485.04,True,2837,low
2026-07-19,18002160,0x0000000000000000000000000000000000000000000000000000000000000012,MakerDAO,75342,WETH/USDC,AlienBase,Aerodrome,1.019292,0.97932,12183,0.003865,11.6,12171.4,True,3738,high
2026-07-20,18002280,0x0000000000000000000000000000000000000000000000000000000000000013,dYdX,882967,cbBTC/USDC,BaseSwap,SwapBased,1.00397,1.048442,8201,0.006279,18.84,8182.16,True,2942,high
2026-07-21,18002400,0x0000000000000000000000000000000000000000000000000000000000000014,Aave V3,421919,AERO/WETH,BaseSwap,Uniswap V3,1.027221,1.02565,6377,0.00666,19.98,6357.02,True,4142,low
2026-07-22,18002520,0x0000000000000000000000000000000000000000000000000000000000000015,Balancer,758835,WETH/cbETH,SushiSwap,BaseSwap,1.049084,1.020739,11999,0.002164,6.49,11992.51,True,1555,low
2026-07-23,18002640,0x0000000000000000000000000000000000000000000000000000000000000016,Uniswap V3 (flash),960983,USDC/USDbC,SwapBased,SushiSwap,1.038204,0.987909,8172,0.005895,17.69,8154.31,True,2017,low
2026-07-24,18002760,0x0000000000000000000000000000000000000000000000000000000000000017,MakerDAO,419954,DAI/USDC,BaseSwap,SwapBased,0.9723,1.033525,3025,0.004047,12.14,3012.86,True,3744,medium
2026-07-25,18002880,0x0000000000000000000000000000000000000000000000000000000000000018,dYdX,960327,WETH/USDC,SushiSwap,Aerodrome,0.978025,1.030226,7861,0.00299,8.97,7852.03,True,2871,medium
